timestep,reward
192,-0.02075
19392,0.51825
38592,0.533
57792,0.6595
76992,0.66225
96192,0.82675
115392,0.83875
134592,0.85225
153792,0.79575
172992,0.9295
192192,0.801
211392,0.91925
230592,0.9325
249792,0.8455
268992,0.871
288192,0.854
307392,0.86175
326592,0.83
345792,0.8705
364992,0.8415
384192,0.801
403392,0.85725
422592,0.8295
441792,0.872
460992,0.75275
480192,0.8135
499392,0.8015
518592,0.82925
537792,0.9015
556992,0.837
576192,0.8335
595392,0.779
614592,0.78825
633792,0.75525
652992,0.865
672192,0.7845
691392,0.84225
710592,0.83875
729792,0.798
748992,0.75975
768192,0.8655
787392,0.66375
806592,0.815
825792,0.7985
844992,0.77825
864192,0.8835
883392,0.7835
902592,0.82925
921792,0.796
940992,0.646
