timestep,reward
0,0.122
1308,0.0
2587,0.023
3902,0.012
5162,0.151
6458,0.119
7768,0.021
9051,0.213
10314,-0.063
11571,0.087
12803,0.021
14130,-0.027
15431,-0.029
16703,0.027
17987,0.009
19188,-0.046
20463,-0.064
21706,0.03
23000,0.001
24262,-0.011
25543,0.013
26896,0.061
28181,-0.03
29426,0.085
30698,-0.034
31963,-0.123
33261,-0.049
34500,0.01
35706,0.104
36937,0.036
38178,0.053
39479,0.163
40734,0.006
42029,0.01
43374,-0.193
44621,-0.001
45889,-0.017
47132,-0.081
48398,0.224
49717,-0.169
50986,-0.072
52264,-0.031
53539,0.006
54765,0.093
56035,-0.068
57235,-0.167
58473,-0.158
59753,0.013
61087,-0.094
62333,0.054
63612,0.0
64866,0.007
66119,0.026
67431,0.007
68674,0.0
69902,0.084
71149,0.023
72419,0.049
73750,0.049
75018,0.03
76313,0.055
77573,-0.117
78895,0.054
80183,-0.019
81466,-0.027
82754,0.019
84033,-0.098
85329,-0.116
86669,0.06
87965,-0.018
89244,-0.111
90536,0.004
91840,-0.022
93097,0.106
94398,-0.126
95692,-0.083
97014,0.02
98279,0.03
99578,0.026
100877,0.056
102150,0.079
103404,0.054
104657,0.036
105935,-0.111
107207,-0.224
108520,-0.148
109761,0.09
111029,-0.028
112366,-0.036
113687,-0.097
114993,-0.02
116229,-0.149
117496,-0.224
118808,0.017
120102,-0.153
121400,0.019
122627,-0.085
123859,-0.042
125144,-0.089
126440,-0.057
